,es,it
3868,sensibles,sensibili
3869,contribuyeron,causa
3870,puesta,","
3871,mediaset,in
3872,har,un
3873,filmacin,riprese
3874,tan,ed
3875,condujo,animatore
3876,cordinadora,cordinatrice
3877,vale,vale
3878,asociacin,asociazione
3879,unidas,ed
3880,mum,mum
3881,nimo,profit
3882,lucro,creata
3883,atender,asistenza
3884,vctimas,vitime
3885,tratos,maltratamenti
3886,desfile,sfilata
3887,ofreci,oferto
3888,benefactores,benefatori
3889,consorte,consorte
3890,directivos,dirigenti
3891,secades,secades
3892,saluda,saluta
3893,technogym,technogym
3894,lder,del
3895,welnes,welnes
3896,fitnes,","
3897,excelencias,enogastronomiche
3898,colaboradores,colaboratori
3899,caza,cacia
3900,tesoro,tesoro
3901,alegre,gioiosa
3902,generos,generoso
3903,dulces,dolciaria
3904,recaudacin,deliniziativa
3905,benefica,destinato
3906,beneficio,a
3907,corado,corado
3908,calabr,calabr
3909,internet,su
3910,cules,quali
3911,retos,sfide
3912,comunicaciones,comunicazioni
3913,rseau,rseau
3914,institutions,des
3915,rgulation,de
3916,mditeranenes,rgulation
3917,euromediteranean,e
3918,regulators,deleuromditeranean
3919,group,chrysler
3920,comit,comitato
3921,derechos,diriti
3922,bcquer,bcquer
3923,trujilo,trujilo
3924,emanuele,ruspoli
3925,helena,helena
3926,cosano,cosano
3927,bahamonde,bahamonde
3928,antimafia,","
3929,antiterorismo,","
3930,anticorupcin,anticorupcin
3931,fiscala,anticorupcin
3932,audiencia,audiencia
3933,fiscalas,con
3934,esas,nelambito
3935,terorismo,che
3936,crimen,di
3937,finalizar,termine
3938,rueda,gira
3939,intervenido,il
3940,roberti,il
3941,informar,","
3942,instruciones,istruzioni
3943,operativas,operative
3944,solicitudes,domande
3945,ministerial,ministeriale
3946,traductor,in
3947,haya,abia
3948,idioma,dialeto
3949,dialecto,dialeto
3950,editor,per
3951,traducidas,in
3952,especiales,pu
3953,indivisibles,indivisibili
3954,traducir,suporto
3955,traducin,traduzione
3956,plazo,entro
3957,finaliza,presentazione
3958,istituti,segreteria
3959,ed,daro
3960,dirito,comisione
3961,dautore,per
3962,comisione,premi
3963,premi,traduzione
3964,posesin,ala
3965,entrevistado,gentiloni
3966,homlogo,omologo
3967,garcamargalo,manuel
3968,numero,mayor
3969,consejos,countycity
3970,conseguir,progresar
3971,?,?
3972,global,caratere
3973,comerciando,colaborazione
3974,discusin,global
3975,ponentes,relatori
3976,secretaria,acompagnato
3977,igualdad,uguaglianza
3978,susana,susana
3979,camarero,camarero
3980,subdirector,il
3981,jrgen,jrgen
3982,positivas,positive
3983,ley,act
3984,berln,berlino
3985,concluy,chiuso
3986,pristina,il
3987,excelente,lecelente
3988,intergubernamental,intergovernativo
3989,contine,che
3990,subray,sotolineato
3991,queremos,sotolineato
3992,concreta,efetiva
3993,manifestada,manifestata
3994,tratado,i
3995,promovidas,qui
3996,ideadas,","
3997,denominada,atraverso
3998,psicoanaltica,psicoanalitica
3999,apm,apm
4000,spi,spi
4001,teodosio,teodosio
4002,libondi,libondi
4003,cono,cono
4004,aldo,aldo
4005,barn,enrique
4006,martn,martn
4007,cabr,e
4008,rubio,dez
4009,dez,aux
4010,matarela,e
4011,moncloa,moncloa
4012,trigsima,trentaduesima
4013,mile,mile
4014,miglia,miglia
4015,disputar,svolger
4016,conversa,conversa
4017,huevos,una
4018,pascua,ale
4019,organiz,organizato
4020,profesora,scuola
4021,mauro,di
4022,permiti,di
4023,cont,duecentocinquanta
4024,doscientos,bambini
4025,padres,carta
4026,pieizda,eco
4027,dcha,","
4028,acadmicas,e
4029,eco,a
4030,ba,madrid
4031,boconi,di
4032,alumni,asociation
4033,entretenimiento,intratenimento
4034,embajadas,ambasciate
4035,awards,awards
4036,anfitriones,onori
4037,fausto,fausto
4038,destac,ha
4039,campestre,campestre
4040,fraile,fraile
4041,inspirada,","
4042,elegancia,ed
4043,florales,floreali
4044,hortofrutculas,ortofruticoli
4045,trimestral,trimestrale
4046,alcanzado,a
4047,noveno,nono
4048,consolidado,consolidato
4049,bon,bon
4050,vivant,vivant
4051,andoni,andoni
4052,adriz,adriz
4053,restaurante,bar
4054,healthy,healthy
4055,cebrin,vitivinicolo
4056,productor,il
4057,vitivincola,marqus
4058,marqus,marchese
4059,murieta,il
4060,larumba,","
4061,adri,nela
4062,avanguardia,e
4063,aprecio,aprezamento
4064,provechosa,proficua
4065,comida,cibo
4066,creciente,e
4067,presta,crescente
4068,ambos,i
4069,civil,civile
4070,situada,ubicata
4071,pertenecido,apartenuto
4072,abrantes,abrantes
4073,simultneamente,contemporaneamente
4074,lagasca,lagasca
4075,inicios,inizi
4076,estilstico,stilistico
4077,permanece,ove
4078,manzana,costruzione
4079,cales,era
4080,bravo,bravo
4081,velzquez,conclusione
4082,amboage,amboage
4083,inmensa,imensa
4084,fortuna,che
4085,nobleza,nobiliare
4086,concedido,","
4087,pisos,piani
4088,cuadrados,quadri
4089,dimensiones,sue
4090,despachos,alultimo
4091,situados,canceleria
4092,figuran,figurano
4093,ejemplares,esemplari
4094,insignes,maestri
4095,rosa,interni
4096,cavalier,darpino
4097,darpino,","
4098,mola,e
4099,faltan,rimasti
4100,siquiera,nepure
4101,siglos,dei
4102,bilar,biliardo
4103,metal,elementi
4104,labrado,e
4105,expresamente,fu
4106,forl,espresamente
4107,bibliografa,bibliografia
4108,fmr,darte
4109,considerable,notevole
4110,spagna,spagna
4111,trata,steso
4112,grand,grand
4113,tour,tour
4114,textos,testi
4115,gabriele,gabriele
4116,conservador,","
4117,delfn,e
4118,descripcin,descrizione
4119,fotografas,fotografie
4120,admirable,notevole
4121,ejecucin,fatura
4122,masimo,masimo
4123,listri,listri
4124,sigui,da
4125,etapas,tapa
4126,rusia,rusia
4127,producido,alestito
4128,picolo,picolo
4129,uniti,uniti
4130,teatri,napoli
4131,pergola,pergola
4132,intensificar,aprofondire
4133,crucial,primaria
4134,debatir,per
4135,conclusiones,conclusioni
4136,stilnovo,stilnovo
4137,azioni,azioni
4138,difusione,difusione
4139,delitaliano,delitaliano
4140,nel,nel
4141,mondo,mondo
4142,che,che
4143,cambia,cambia
4144,sesiones,in
4145,plenarias,plenarie
4146,retransmitieron,trasmese
4147,streaming,streaming
4148,paralelo,paralelamente
4149,xiv,xiv
4150,reflexionaron,rifletuto
4151,expertos,esperti
4152,acadmicos,ilustri
4153,lectores,letori
4154,red,rete
4155,prepara,per
4156,publicacin,publicazione
4157,italana,nelera
4158,pues,quindi
4159,descargarse,scaricare
4160,marazini,marazini
4161,formatos,","
4162,electrnicos,per
4163,pginas,verificare
4164,bokrepublic,","
4165,presentar,presentata
4166,itmakes,itmakes
4167,ideados,ideati
4168,supera,supera
4169,conjuga,coniuga
4170,funcionalidad,funzionalit
4171,tradicin,tradizione
4172,tecnologas,tecnologie
4173,funda,basa
4174,teritorial,teritoriale
4175,capaces,capaci
4176,generando,generando
4177,sinergias,sinergie
4178,entornos,queste
4179,idas,landare
4180,erasmus,erasmus
4181,movimientos,movimenti
4182,crean,mondocreano
4183,identidades,identit
4184,emprender,imprenditorialit
4185,contaminaciones,contaminazioni
4186,creativas,creative
4187,diseadores,i
4188,creativos,","
4189,contando,","
4190,aportacin,il
4191,civiles,registrati
4192,dinmica,dinamica
4193,contenga,contenga
4194,futuros,","
4195,funcionando,da
4196,lanzamiento,lancio
4197,transversalidad,trasversalit
4198,identificado,","
4199,diseo,","
4200,partida,certificato
4201,enfoque,aprocio
4202,desarolando,svilupando
4203,conectados,progeti
4204,muove,muove
4205,barcelona,barcelona
4206,abiertos,aperti
4207,urbanos,urbani
4208,so,so
4209,fare,fare
4210,!,!
4211,profesores,profesori
4212,labs,lab
4213,estrategia,strategia
4214,integrada,delitalia
4215,alitaliana,lanciata
4216,impulsada,e
4217,desarolada,con
4218,poner,valorizare
4219,conjugar,coniugare
4220,poesa,di
4221,cualquier,qualsiasi
4222,dimensin,versante
4223,clave,strategiche
4224,plan,plan
4225,consulados,consolati
4226,tendr,che
4227,favorecer,favorire
4228,amore,amore
4229,nava,nava
4230,acogido,ospitato
4231,mondadori,mondadori
4232,introducido,introdoto
4233,presentando,presentando
4234,proficua,proficuo
4235,trayectoria,strada
4236,escritor,scritore
4237,ensayista,sagista
4238,bulgari,bulgari
4239,thysenbornemisza,thysenbornemisza
4240,servido,antica
4241,contado,alestita
4242,permanecer,rimar
4243,rene,riunisce
4244,joyera,heritage
4245,pertenecieron,apartenuti
4246,heritage,esemplari
4247,taylor,taylor
4248,magnani,magnani
4249,particulares,private
4250,inmortalizado,imortalato
4251,canaleto,tiepolo
4252,gaspar,gaspare
4253,van,vanviteli
4254,intesa,grupo
4255,librera,civitas
4256,geopoltica,geopolitica
4257,east,east
4258,europeye,europeye
4259,scognamiglio,scognamiglio
4260,cavaliere,cavaliere
4261,delordine,merito
4262,republica,republica
4263,calvo,calvo
4264,merino,merino
4265,otorgada,imposta
4266,seor,signor
4267,ilustre,lilustre
4268,personalidad,personalit
4269,asturias,registrato
4270,creative,polo
4271,gijn,dela
4272,audiovisual,cultura
4273,reflexin,dominato
4274,laboral,coperazione
4275,patrocinada,patrocinio
4276,salvatore,salvatore
4277,amura,amura
4278,filiera,tesile
4279,tesile,unindustria
4280,unindustria,unindustria
4281,taboreli,","
4282,turcheta,ha
4283,moder,moderato
4284,htpasturiascreative,htpasturiascreative
4285,sicilia,sicilia
4286,portal,portale
4287,turstica,sicilia
4288,siciliana,regionale
4289,oferta,con
4290,modalidades,per
4291,inovadoras,inovative
4292,orientacin,lorientamento
4293,facilita,facilita
4294,usuario,contenuti
4295,articulacin,larticolazione
4296,suministrada,comprendono
4297,productivo,produtiva
4298,ofrece,ofre
4299,til,strumento
4300,sujetos,","
4301,soluciones,soluzioni
4302,tecnolgicas,tecnologiche
4303,interactividad,interativit
4304,crea,crea
4305,propia,proprio
4306,ruta,organizazioni
4307,determinado,determinato
4308,selecionar,determinato
4309,detalada,tuti
4310,giornata,giornata
4311,porte,porte
4312,aperte,aperte
4313,scuola,scuola
4314,maurizio,.
4315,martina,martina
4316,inovacion,inovacion
4317,instalado,alestito
4318,naturales,catastrofi
4319,mncn,mncn
4320,modulo,cosideto
4321,legero,legero
4322,seda,seda
4323,er,encuentro
4324,declarado,dichiara
4325,margalo,margalo
4326,generalitat,generalitat
4327,coradi,coradi
4328,sen,sen
4329,acudi,","
4330,yuste,yuste
4331,unime,lunanime
4332,partcipes,coinvolte
4333,integracin,integrazione
4334,desempeo,sforzo
4335,acadmica,vita
4336,acidente,delincidente
4337,catalogna,catalogna
4338,miur,miur
4339,formalizado,formalizato
4340,rectores,italiane
4341,crui,crui
4342,quince,di
4343,doctorado,dotorato
4344,sern,tratati
4345,trabajos,lavori
4346,publicados,publicati
4347,entregado,consegnato
4348,felipe,felipe
4349,funciones,rete
4350,tomaron,preso
4351,ilustrar,ilustrando
4352,espritu,spirito
4353,dada,fornito
4354,histricos,storici
4355,cientficos,scienziati
4356,ediciones,edizioni
4357,premiadas,premiate
4358,personalidades,personalit
4359,baroso,baroso
4360,solana,solana
4361,helmut,helmut
4362,kohl,kohl
4363,jorge,jorge
4364,mikhail,michail
4365,gorbachev,gorbaciov
4366,patronato,patronato
4367,performance,performance
4368,alesandro,barico
4369,bergonzoni,bergonzoni
4370,humorista,comico
4371,actor,atore
4372,espectculo,spetacolo
4373,falta,segnalare
4374,mirada,e
4375,cambiar,cambiare
4376,usos,usi
4377,lenguaje,","
4378,romper,rompere
4379,hechas,segnalano
4380,replantearse,di
4381,aparce,e
4382,ordinario,ordinario
4383,reactivar,riativare
4384,individual,individuale
4385,va,se
4386,liturgia,liturgia
4387,cmica,comica
4388,abrirnos,aprirci
4389,vastedad,vastit
4390,sumergidos,imersi
4391,bolos,bolognese
4392,gira,tourne
4393,urge,italiani
4394,suscitado,","
4395,ayer,ieri
4396,platea,platea
4397,reuniones,asemble
4398,viaje,ente
4399,narativa,nela
4400,curadora,xi
4401,literaria,critica
4402,prlogo,prologo
4403,claudio,claudio
4404,vastsima,vastisima
4405,literarias,leterarie
4406,sesenta,sesanta
4407,lampedusa,","
4408,tomasi,da
4409,instrumento,strumento
4410,imprescindible,imprescindibile
4411,radicado,suo
4412,mejor,ai
4413,humanismo,sulumanesimo
4414,matriz,matrice
4415,crticas,situazioni
4416,caracterizan,che
4417,ignacio,ignacio
4418,dramaturgo,e
4419,amestoy,","
4420,confines,frontiere
4421,permeabilidad,dela
4422,clandestina,spiegato
4423,prxima,prosima
4424,difundidas,","
4425,ansa,dalagenzia
4426,inmigracin,imigration
4427,hablado,","
4428,santamara,e
4429,senz,de
4430,alianza,di
4431,algo,che
4432,quiz,forse
4433,claro,che
4434,frontera,italiana
4435,individuales,","
4436,maltesa,greca
4437,griega,maltese
4438,especialidad,specialit
4439,auxiliar,il
4440,ariesga,la
4441,escuche,voce
4442,voz,paesi
4443,solicitan,leuropa
4444,fuerza,forza
4445,asuma,questione
4446,record,ricordato
4447,centros,centri
4448,monitorizan,monitorano
4449,observan,oservano
4450,satlite,i
4451,invitado,ospite
4452,fundamental,fondamentale
4453,atacar,agredire
4454,ataque,ai
4455,trafican,trafico
4456,seres,eseri
4457,humanos,umani
4458,asumir,asumer
4459,gua,guida
4460,estand,stand
4461,cso,imprese
4462,bruni,bruni
4463,ortofruticoli,ortofruticoli
4464,servizi,di
4465,camara,camera
4466,constructivo,costrutivo
4467,focalizado,focalizato
4468,estratgica,strategica
4469,hortofrutcola,ortofruticola
4470,primero,noi
4471,toneladas,tonelate
4472,construir,domani
4473,afrontar,afrontare
4474,efectos,fini
4475,globalizacin,globalizazione
4476,socias,socie
4477,granfruta,produzione
4478,teco,","
4479,distribucin,famiglie
4480,caracteriza,da
4481,rusconi,rusconi
4482,musica,musica
4483,parla,parla
4484,multimedia,multimediale
4485,producida,prodota
4486,migratorias,migratorie
4487,anfe,anfe
4488,emigrantes,migranti
4489,network,network
4490,york,york
4491,lev,realizata
4492,grecia,grecia
4493,franciscos,","
4494,veros,franciscos
4495,arnzazu,","
4496,beristain,deluficio
4497,itpaese,.
4498,esteri,esteri
4499,recomendamos,di
4500,php,.
4501,idpaesi,?
4502,completamente,non
4503,creada,realizata
4504,normativa,normativa
4505,inversor,investitore
4506,comercial,comerciale
4507,legales,previsto
4508,fiscales,aspeti
4509,ligados,legate
4510,rigen,governano
4511,invitamos,invitiamo
4512,gubernamental,governativo
4513,organismo,ente
4514,internacionalizacin,la
4515,nota,documenti
4516,defensa,difesa
4517,ofensas,ofese
4518,si,se
4519,artesanal,artigianale
4520,riqueza,richeza
4521,teritorios,e
4522,sapiencia,sapientemente
4523,habitantes,superiori
4524,atribuir,e
4525,concretas,aziende
4526,producto,prodoto
4527,detale,cura
4528,defender,tutelare
4529,inmaterial,imateriale
4530,exigen,pari
4531,consumidores,europe
4532,normas,norme
4533,asegurar,fondamentale
4534,transparencia,sul
4535,defienden,sostengono
4536,permitira,comunicare
4537,comunicar,il
4538,consumidor,","
4539,proveniencia,incorpora
4540,ojos,del
4541,refiere,concerne
4542,estndares,standard
4543,medioambientales,paese
4544,vigor,vigore
4545,rechaza,con
4546,claridad,e
4547,condena,senza
4548,publicitarios,organizata
4549,enfocados,a
4550,tengan,afinch
4551,costumbres,abitudini
4552,ofensivo,ofensivo
4553,asociar,asociare
4554,criminales,criminali
4555,showcase,showcase
4556,mengoni,mengoni
4557,anteprima,disco
4558,responsables,responsabile
4559,radio,radio
4560,lavoro,premio
4561,alumna,lavoro
4562,liceo,liceo
4563,cientfico,scientifico
4564,amaldi,amaldi
4565,certificado,certificato
4566,comprensivo,comprensivo
4567,diplomados,diplomati
4568,superiores,superiori
4569,hayan,abiano
4570,escolares,scolastici
4571,condolencias,condoglianze
4572,pr,pr
4573,institutional,institutional
4574,corporate,corporate
4575,country,afairs
4576,manager,manager
4577,tori,tori
4578,otorgado,atribuiti
4579,traductora,tradutrice
4580,carmignani,carmignani
4581,particularmente,specializata
4582,reche,reche
4583,inaugurada,inaugurata
4584,fiera,fiera
4585,acaba,stamatina
4586,previsiones,le
4587,verdadero,vero
4588,escaparate,una
4589,transalpino,una
4590,variedad,variet
4591,fresca,fresca
4592,seca,","
4593,quesos,conserve
4594,conservas,prodoti
4595,horneados,","
4596,visitantes,visitors
4597,especialidades,specialit
4598,regionales,organizazioni
4599,dop,dop
4600,balsmico,balsamico
4601,mdena,modena
4602,salame,salame
4603,mozarela,mozarela
4604,estarn,sarano
4605,chefs,chef
4606,cordioli,cordioli
4607,acompa,che
4608,verona,verona
4609,augusta,augusta
4610,lisoni,lisoni
4611,diplomacia,diplomazia
4612,preventiva,preventiva
4613,prevencin,prevenzione
4614,naciones,unite
4615,think,tank
4616,conmemorativo,comemorativo
4617,rita,levimontalcini
4618,levimontalcini,dela
4619,mensajeros,la
4620,desfavorecidos,abienti
4621,activa,ativamente
4622,chiesi,farmaceutici
4623,farmaceutici,s
4624,giusepina,altri
4625,onlus,levimontalcini
4626,caterina,italospagnola
4627,cientfica,scientifica
4628,italoespaola,biscari
4629,sincrotrn,diretrice
4630,alba,del
4631,brain,del
4632,sobrina,ebri
4633,admiracin,da
4634,servir,stimolo
4635,estmulo,stimolo
4636,extraordinario,umanesimo
4637,obstculos,","
4638,prjimo,anche
4639,lecin,lezione
4640,apasionado,ha
4641,sintetizan,sintetizano
4642,complejidad,complesit
4643,comunes,comuni
4644,centralidad,la
4645,persona,persona
4646,demostrando,","
4647,conmemoraba,ricordava
4648,expresidente,lex
4649,puedan,","
4650,transformar,trasformare
4651,tecnam,tecnam
4652,construciones,costruzioni
4653,aeronuticas,opera
4654,campania,campania
4655,astor,astor
4656,joya,gioielo
4657,tecnolgica,tecnologico
4658,hosteleros,ristoratori
4659,panificadores,panificatori
4660,sfogline,sfogline
4661,asociados,asociati
4662,ascom,hano
4663,sirvieron,servito
4664,cerca,.
4665,platos,piati
4666,ema,ema
4667,bonino,bonino
4668,recuerdo,interesante
4669,castigo,la
4670,crmenes,crimini
4671,convivencia,pacifica
4672,adopt,adotato
4673,estatuto,alo
4674,aprobacin,","
4675,somalia,somalia
4676,ruanda,ruanda
4677,bosnia,bosnia
4678,siria,ogi
4679,intolerancia,siria
4680,seales,non
4681,ningn,nesun
4682,declararse,pu
4683,inmune,dirsene
4684,querido,voluto
4685,rechazar,ogni
4686,indiferencia,di
4687,atrocidades,atrocit
4688,genocidio,crimini
4689,humanidad,lumanit
4690,graves,gravi
4691,culpas,colpe
4692,palabra,parola
4693,causen,causino
4694,infeciones,infezioni
4695,desestabilizadoras,destabilizanti
4696,heridas,ferite
4697,concienciacin,la
4698,cometidas,punibilit
4699,punibilidad,costituiscono
4700,requisito,requisito
4701,definitiva,definitivo
4702,superacin,","
4703,casos,casi
4704,perseguimiento,perseguimento
4705,generado,generate
4706,especie,sorta
4707,catarsis,catarsi
4708,disuasorio,deterente
4709,sirve,serve
4710,evitar,prevenire
4711,radicar,radicare
4712,repeticin,reiterarsi
4713,brutalidades,brutalit
4714,contibuyendo,contribuendo
4715,impunidad,afermare
4716,credibilidad,autorit
4717,aumentado,credibilit
4718,ratificado,ne
4719,adopcin,aladozione
4720,relativas,relativi
4721,susceptibles,suscetibili
4722,aplicacin,sensi
4723,promovido,dal
4724,institucin,corte
4725,ratificacin,di
4726,ordenamiento,delordinamento
4727,ponerse,e
4728,coperar,di
4729,plenamente,coperare
4730,bajar,abasare
4731,queria,vorei
4732,aprovechar,cogliere
4733,simple,farne
4734,renueve,rinovare
4735,roberta,roberta
4736,pinoti,pinoti
4737,entres,tra
4738,statale,statale
4739,cosimo,cosimo
4740,guarino,guarino
4741,centrales,centrali
4742,pasada,note
4743,establecido,specificato
4744,lamar,rivolgere
4745,arturo,arturo
4746,premiacin,premiazione
4747,presentada,presentata
4748,costumbre,consueto
4749,jurado,giuria
4750,nacen,nascono
4751,dentro,alinterno
4752,desarolan,svilupano
4753,ecosistema,delecosistema
4754,convertirse,diventare
4755,favorable,favorevole
4756,policy,policy
4757,altavila,altavila
4758,infantil,infantile
4759,delente,delente
4760,gestor,gestore
4761,ubaldo,","
4762,paola,paola
4763,gasco,.
4764,donacin,costituita
4765,recogida,e
4766,alimentarios,di
4767,martnez,martnez
4768,becarios,dela
4769,sioi,sioi
4770,espinosa,espinosa
4771,voluntarios,volontari
4772,sirvindose,","
4773,distribuy,distribuito
4774,kilos,kilogrami
4775,migraciones,sono
4776,asilo,asilo
4777,redonda,rotonda
4778,ceu,ceu
4779,marchione,","
4780,chrysler,di
4781,invierno,linverno
4782,folet,folet
4783,jans,jans
4784,triloga,trilogia
4785,registrado,registrato
4786,cocina,cucina
4787,agroalimentarios,vitivinicole
4788,dieta,mediteranea
4789,herencia,eredit
4790,colaboran,il
4791,agrcolas,agricole
4792,alimentarias,alimentari
4793,act,act
4794,pacto,pato
4795,gastronoma,gastronomia
4796,agroalimentario,comparto
4797,indican,un
4798,gastronmicas,gastronomica
4799,expresiones,espresioni
4800,mediternea,","
4801,afines,afini
4802,mrgenes,margini
4803,previstas,previste
4804,barni,","
4805,enrica,luigi
4806,bertacini,","
4807,carete,marco
4808,abraham,garca
4809,bedmar,","
4810,castro,andrea
4811,andrea,andrea
4812,compararn,a
4813,respectivas,potete
4814,estereotipos,stereotipi
4815,evidenciar,","
4816,similitudes,evidenziare
4817,nutricionistas,nutrizionisti
4818,cocineros,cuochi
4819,estrelas,stele
4820,michelin,michelin
4821,beneficios,benefici
4822,chef,chef
4823,bonet,bonet
4824,arquitecto,larchiteto
4825,nacho,nacho
4826,showcoking,showcoking
4827,moreno,moreno
4828,cedroni,cedroni
4829,degustacin,di
4830,bodega,cantina
4831,mastroberardino,mastroberardino
4832,proyeciones,in
4833,intenso,intenso
4834,calendario,","
4835,cinematogrficas,cinematografiche
4836,citas,suono
4837,parmesano,il
4838,regiano,regiano
4839,nutrirse,di
4840,basilicata,e
4841,faltarn,mancherano
4842,supervisin,lamichevole
4843,eli,eli
4844,hostelera,di
4845,calor,alinsegna
4846,afectadas,colpite
4847,teremotos,teremoti
4848,solidaria,organizata
4849,catalana,dal
4850,programados,coinvolgono
4851,activas,ative
4852,ily,ily
4853,inicitivas,proprie
4854,propias,iniziative
4855,cmaras,of
4856,ofertas,oferte
4857,aperitivos,tradizione
4858,piza,dela
4859,vinos,oferti
4860,lrica,dedicata
4861,benfica,stato
4862,mueve,muove
4863,vivace,vivace
4864,formas,forme
4865,mezcla,meticiato
4866,consolidad,consolidata
4867,apoya,sostiene
4868,emergentes,emergenti
4869,concebido,concepito
4870,creativo,creativo
4871,apertura,dapertura
4872,construye,costruisce
4873,archivo,webarchivio
4874,selecionados,selezionati
4875,fortalecimiento,ed
4876,cordinacin,cordinamento
4877,asegurada,afidato
4878,casu,casu
4879,pretenden,giustamente
4880,superando,superando
4881,relatar,proprio
4882,mera,esibizione
4883,permitiendo,permetendo
4884,inmersin,del
4885,universo,esteso
4886,extendido,","
4887,disciplinas,diverse
4888,objetivos,obietivi
4889,consolidada,consolidata
4890,sacar,far
4891,entorno,indiretamente
4892,produce,produce
4893,potencial,potenziale
4894,inovador,inovativo
4895,contextos,contesti
4896,viven,vivono
4897,influenciados,influenzati
4898,artesana,artigianato
4899,partner,partner
4900,filologa,filologia
4901,italianoespaol,si
4902,naran,narati
4903,repasando,ripresi
4904,dona,la
4905,recitan,reciterano
4906,poemas,poemi
4907,participarn,parteciperano
4908,varelaportas,varelaportas
4909,ordua,ordua
4910,caril,caril
4911,eduardo,eduardo
4912,palao,palao
4913,completar,ad
4914,aforo,posti
4915,deusto,deusto
4916,bilbao,bilbao
4917,invitacin,invito
4918,bilbana,bilbaina
4919,amigos,amici
4920,luchino,luchino
4921,animado,programa
4922,inditos,inediti
4923,desvel,luce
4924,recuerdos,smuovono
4925,iveco,iveco
4926,eurocargo,eurocargo
4927,segmento,segmento
4928,combina,combina
4929,jaime,jaime
4930,executive,lexecutive
4931,forum,forum
4932,vozpuli,con
4933,diputados,dei
4934,gianfranco,gianfranco
4935,hon,","
4936,fini,fini
4937,jes,posada
4938,inaguracin,alinaugurazione
4939,acudido,recato
4940,vilalobos,","
4941,posada,deputati
4942,celia,vilalobos
4943,teresa,cunilera
4944,gabinete,gabineto
4945,salini,salini
4946,memoria,del
4947,holocausto,delolocausto
4948,conmemoracin,comemorazione
4949,celebrada,celebrata
4950,intrprete,interprete
4951,italosefard,italosefardita
4952,michele,michele
4953,sangue,intitolato
4954,mare,una
4955,sefaradisrael,sefaradisrael
4956,goethe,il
4957,polaco,polaco
4958,gazich,gazich
4959,experimenta,sperimenta
4960,gneros,generi
4961,hebrea,il
4962,despertar,","
4963,idiomas,","
4964,invitar,avicinarsi
4965,lenguas,lingua
4966,gratuitas,gratuite
4967,guiada,guidata
4968,oscuridad,buio
4969,grasino,grasino
4970,cavalchinigarofoli,alberto
4971,enc,le
4972,tornieli,tornieli
4973,brusati,brusati
4974,vergano,vergano
4975,mafei,mafei
4976,boglio,boglio
4977,renzis,renzis
4978,avogadro,avogadro
4979,arborio,arborio
4980,silvestreli,silvestreli
4981,lelio,lelio
4982,longare,longare
4983,carloti,carloti
4984,riparbela,riparbela
4985,fascioti,fascioti
4986,raniero,raniero
4987,pauluci,pauluci
4988,calboli,de
4989,medici,medici
4990,ercole,ercole
4991,durini,durini
4992,monza,monza
4993,guariglia,guariglia
4994,orazio,orazio
4995,pedrazi,pedrazi
4996,ciutis,ciutis
4997,cantalupo,cantalupo
4998,guido,guido
4999,viola,viola
5000,gastone,gastone
5001,gambara,gambara
5002,lequio,lequio
5003,giacomo,giacomo
5004,barone,barone
5005,tomaso,tomaso
5006,scoti,scoti
5007,benedeto,benedeto
5008,capomaza,capomaza
5009,campolataro,campolataro
5010,darchirafi,darchirafi
5011,taliani,taliani
5012,marchio,marchio
5013,longhi,longhi
5014,balzo,balzo
5015,presenzano,presenzano
5016,pelegrino,pelegrino
5017,ghigi,ghigi
5018,cristoforo,cristoforo
5019,fracasi,fracasi
5020,mentone,rati
5021,tore,mentone
5022,rosano,rosano
5023,dusita,dusita
5024,cavaleti,cavaleti
5025,sabino,sabino
5026,marchiori,marchiori
5027,etore,etore
5028,staderini,staderini
5029,maras,maras
5030,federico,federico
5031,ciarapico,ciarapico
5032,amedeo,amedeo
5033,franchis,franchis
5034,pasquale,pasquale
5035,teraciano,teraciano
5036,hispano,italiaspagna
5037,foro,forum
5038,disfraces,organizato
5039,consolare,consolare
5040,garciamargalo,il
5041,botela,","
5042,bini,bini
5043,ensayo,intitolato
5044,morire,di
5045,austerit,austerit
5046,democrazie,democrazie
5047,spale,le
5048,conversacin,una
5049,mulino,.
5050,asistido,da
5051,regresa,torna
5052,ochenta,otantani
5053,marqueses,marchesi
5054,propietarios,proprietari
5055,vendieron,il
5056,haberlo,avevano
5057,abandonar,abandonare
5058,miranda,miranda
5059,ruiz,ripercorso
5060,conmocin,luoghi
5061,transcurido,la
5062,infancia,linfanzia
5063,detales,detagli
5064,slow,per
5065,amatrice,amatrice
5066,campa,campagna
5067,invita,invita
5068,italina,italiana
5069,incluir,includere
5070,mens,men
5071,alamatriciana,","
5072,destinar,devolvere
5073,plato,conosciuto
5074,consumido,consumato
5075,obtenidas,racolte
5076,haga,","
5077,clic,clicando
5078,investigadores,ricercatori
5079,em,espaola
5080,enel,enel
5081,flamenca,flamenca
5082,curarte,curarte
5083,viceconsulado,vice
5084,and,and
5085,ideado,ideato
5086,investigaciones,ricerche
5087,distinguidos,certificati
5088,hospitalidad,ospitalit
5089,gastronmica,oferta
5090,men,un
5091,cordinada,cordinata
5092,pontevedra,da
5093,murcia,","
5094,cerimoniale,viceregno
5095,spagnolo,di
5096,cordenado,curato
5097,atilio,atilio
5098,antoneli,da
5099,viceregno,viceregno
5100,historiador,delarte
